City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,San Patricio,US,2021-11-24 18:30:22,28.017,-97.5169,82.81,64,100,19.46
111,Riyadh,SA,2021-11-24 18:30:02,24.6877,46.7219,66.34,33,0,6.04
112,Tabou,CI,2021-11-24 18:30:23,4.423,-7.3528,80.24,82,70,6.76
113,Neepawa,CA,2021-11-24 18:30:23,50.2289,-99.4664,7.2,70,21,9.6
114,Ampanihy,MG,2021-11-24 18:30:24,-24.7,44.75,66.31,87,100,4.41
115,Tura,IN,2021-11-24 18:30:24,25.5198,90.2201,59.27,65,0,3.29
116,Kavieng,PG,2021-11-24 18:30:25,-2.5744,150.7967,82.4,73,20,12.06
117,Marienburg,PL,2021-11-24 18:30:25,54.0359,19.0266,45.9,85,100,10.25
118,Bluff,NZ,2021-11-24 18:30:26,-46.6,168.3333,51.37,83,99,7.83
119,Longyan,CN,2021-11-24 18:30:26,25.1072,117.0225,50.63,69,58,2.91
120,Barrow,US,2021-11-24 18:30:02,71.2906,-156.7887,-2.18,71,75,11.5
121,Norman Wells,CA,2021-11-24 18:30:27,65.282,-126.8329,-32.76,68,40,2.3
122,Salalah,OM,2021-11-24 18:30:27,17.0151,54.0924,82.49,83,75,5.75
123,Axim,GH,2021-11-24 18:30:28,4.8699,-2.2405,80.71,83,34,6.26
124,Caldwell,US,2021-11-24 18:30:29,43.6629,-116.6874,42.98,63,1,9.22
125,Heihe,CN,2021-11-24 18:30:29,50.2441,127.4902,16.38,90,100,13.91
126,Sao Filipe,CV,2021-11-24 18:30:30,14.8961,-24.4956,78.66,72,1,4.81
127,Tezu,IN,2021-11-24 18:30:30,27.9167,96.1667,61.93,64,12,3.89
128,San Cristobal,VE,2021-11-24 18:30:31,7.7669,-72.225,77.18,85,68,3.18
129,Northam,GB,2021-11-24 18:30:31,51.0333,-4.2167,46.62,87,100,2.33
130,Barroquinha,BR,2021-11-24 18:30:32,-3.0189,-41.1361,89.38,55,61,14.5
131,Riohacha,CO,2021-11-24 18:30:32,11.5444,-72.9072,83.86,68,100,10.33
132,Alice Springs,AU,2021-11-24 18:30:32,-23.7,133.8833,60.35,82,0,6.91
133,Namatanai,PG,2021-11-24 18:26:16,-3.6667,152.4333,79.57,80,90,6.38
134,Arraial Do Cabo,BR,2021-11-24 18:30:33,-22.9661,-42.0278,78.76,73,0,8.05
135,Te Anau,NZ,2021-11-24 18:30:34,-45.4167,167.7167,50.09,80,100,3.2
136,Leningradskiy,RU,2021-11-24 18:29:14,69.3833,178.4167,-14.94,93,100,4.18
137,Stornoway,GB,2021-11-24 18:30:35,58.2093,-6.3865,42.04,78,40,13.0
138,Vao,NC,2021-11-24 18:30:35,-22.6667,167.4833,74.95,78,100,11.86
139,La Palma,US,2021-11-24 18:27:54,33.8464,-118.0467,72.1,64,1,3.44
140,Shawville,CA,2021-11-24 18:31:36,45.6001,-76.4827,41.79,51,29,8.57
141,Kuybysheve,UA,2021-11-24 18:31:36,47.358,36.6491,26.83,60,0,2.48
142,Port Shepstone,ZA,2021-11-24 18:31:37,-30.7414,30.455,65.23,67,100,13.85
143,Takapau,NZ,2021-11-24 18:31:37,-40.0333,176.35,51.19,75,12,2.95
144,Mount Gambier,AU,2021-11-24 18:31:38,-37.8333,140.7667,53.51,87,40,8.05
145,College,US,2021-11-24 18:31:38,64.8569,-147.8028,-9.42,73,40,8.05
146,Sitka,US,2021-11-24 18:31:38,57.0531,-135.33,42.69,75,90,24.16
147,Muros,ES,2021-11-24 18:31:39,42.7762,-9.0603,55.83,74,30,12.15
148,Sorland,NO,2021-11-24 18:31:39,67.667,12.6934,35.46,55,100,28.23
149,Maniitsoq,GL,2021-11-24 18:31:40,65.4167,-52.9,30.85,72,93,7.02
150,Agarak,AM,2021-11-24 18:31:40,39.2068,46.5446,47.17,47,100,0.78
151,Severo-Kurilsk,RU,2021-11-24 18:31:40,50.6789,156.125,38.12,98,100,17.54
152,Loandjili,CG,2021-11-24 18:31:41,-4.7561,11.8578,78.91,83,20,4.61
153,Sinnamary,GF,2021-11-24 18:31:42,5.3833,-52.95,83.14,76,72,7.78
154,Guarapari,BR,2021-11-24 18:31:42,-20.6667,-40.4975,78.69,76,31,8.46
155,Sao Sebastiao,BR,2021-11-24 18:31:42,-23.76,-45.4097,75.97,73,52,3.67
156,Wagar,SD,2021-11-24 18:31:43,16.1525,36.2032,80.91,42,0,10.2
157,Geraldton,AU,2021-11-24 18:31:43,-28.7667,114.6,57.61,72,0,4.61
158,Buchanan,LR,2021-11-24 18:31:44,5.8808,-10.0467,82.36,79,26,6.4
159,Colac,AU,2021-11-24 18:31:44,-38.3333,143.5833,57.15,96,53,3.13
