City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Marzuq,YE,14.4,46.4667,63.93,30,0,4.7,clear sky
140,Gumdag,TM,39.2061,54.5906,50.16,37,14,14.23,few clouds
141,Faya,SA,18.3851,42.4509,57.31,38,0,5.26,clear sky
142,Leningradskiy,RU,69.3833,178.4167,-20.92,94,89,11.32,overcast clouds
143,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,75,6.91,broken clouds
144,Bar Harbor,US,44.3876,-68.2039,32.14,59,1,3.44,clear sky
145,Ngunguru,NZ,-35.6167,174.5,66.31,68,96,2.04,overcast clouds
146,Pangnirtung,CA,66.1451,-65.7125,24.8,58,75,18.41,broken clouds
147,Kincardine,GB,56.0667,-3.7167,33.82,78,46,4.14,scattered clouds
148,Oltu,TR,40.5498,42.0013,43.52,85,71,5.53,broken clouds
149,Guerrero Negro,MX,27.9769,-114.0611,78.13,34,0,8.57,clear sky
150,Ca Mau,VN,9.1769,105.15,73.33,98,100,6.46,overcast clouds
151,Broome,US,42.2506,-75.833,32.77,100,90,8.05,mist
152,Eyrarbakki,IS,63.863,-21.1481,41.05,98,100,7.31,overcast clouds
153,Punta Gorda,US,26.9298,-82.0454,77.04,33,1,4.61,clear sky
154,Urubamba,PE,-13.3047,-72.1158,68.9,66,99,7.4,overcast clouds
155,Severobaykalsk,RU,55.65,109.3167,8.62,89,96,3.09,overcast clouds
156,Castro,BR,-24.7911,-50.0119,75.43,60,85,3.74,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,-9.53,80,8,11.07,clear sky
158,Cidreira,BR,-30.1811,-50.2056,72.3,87,100,8.61,overcast clouds
159,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,27.63,broken clouds
160,Leh,IN,34.1667,77.5833,15.03,64,1,2.59,clear sky
161,Nanortalik,GL,60.1432,-45.2371,41.18,93,100,13.42,overcast clouds
162,Gloversville,US,43.0528,-74.3438,30.24,100,90,6.91,light snow
163,Quchan,IR,37.106,58.5095,45.25,54,95,4.32,overcast clouds
164,Islamkot,PK,24.6997,70.177,70.88,39,24,2.24,few clouds
165,Yankton,US,42.8711,-97.3973,48.45,49,1,11.5,clear sky
166,Broken Hill,AU,-31.95,141.4333,64.11,68,10,5.75,clear sky
167,Bafra,TR,41.5678,35.9069,58.78,80,46,2.91,scattered clouds
168,Tiksi,RU,71.6872,128.8694,-13.72,99,99,6.53,overcast clouds
